Einkaufspreis;Kanal;Datum;Jahr;Quartal;Monat;Wochentag;Anzahl Bestellungen;Wareneinsatz;Anzahl Artikelstück;Anzahl Bundle;Nettoumsatz;RE1;RE2
 5-10€;partsrunner-daparto;2017-01-04;2017;2017-01-01;2017-01-01;2;7.95;122.62;26.0;0.0;230.28;111.34;46.51
 > 50€;partsrunner-daparto;2017-01-04;2017;2017-01-01;2017-01-01;2;6.0;517.78;10.0;0.0;610.13;92.35;-32.1
10-25€;partsrunner-daparto;2017-01-04;2017;2017-01-01;2017-01-01;2;9.75;228.5;22.0;0.0;337.79;123.42;13.96
25-50€;partsrunner-daparto;2017-01-04;2017;2017-01-01;2017-01-01;2;5.03;248.87;8.0;0.0;313.67;64.8;-9.21
 0- 5€;carmaster-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;13.83;39.87;15.0;0.0;160.32;122.45;66.67
 5-10€;carmaster-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;13.83;93.99;16.0;0.0;231.52;140.29;75.58
 > 50€;carmaster-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;13.0;930.06;14.0;0.0;1085.33;192.91;37.07
10-25€;carmaster-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;11.33;201.68;13.0;0.0;337.79;136.11;67.69
25-50€;carmaster-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;8.0;302.24;14.0;0.0;460.09;157.85;87.49
 0- 5€;partsrunner-tyre24;2017-01-04;2017;2017-01-01;2017-01-01;2;1.5;3.1;14.0;0.0;47.9;44.8;34.2
 > 50€;partsrunner-tyre24;2017-01-04;2017;2017-01-01;2017-01-01;2;1.5;173.92;9.0;0.0;225.54;51.62;11.98
 0- 5€;teufel-shop;2017-01-05;2017;2017-01-01;2017-01-01;3;77.25;130.63;442.0;0.0;1926.79;1809.58;1181.2
 5-10€;teufel-shop;2017-01-05;2017;2017-01-01;2017-01-01;3;34.59;628.67;126.0;0.0;1306.56;698.27;431.36
 > 50€;teufel-shop;2017-01-05;2017;2017-01-01;2017-01-01;3;34.45;5090.24;76.0;0.0;5625.3;705.25;-124.82
10-25€;teufel-shop;2017-01-05;2017;2017-01-01;2017-01-01;3;72.33;2359.86;220.0;0.0;3710.52;1429.09;770.61
25-50€;teufel-shop;2017-01-05;2017;2017-01-01;2017-01-01;3;43.21;3067.01;143.0;0.0;3999.34;1021.0;384.26
 0- 5€;teufel-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;132.5;130.3;152.0;0.0;986.18;863.31;241.67
 5-10€;teufel-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;37.0;234.68;42.0;0.0;518.29;297.27;66.7
 > 50€;teufel-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;10.0;786.63;11.0;0.0;933.86;147.23;-55.87
10-25€;teufel-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;16.0;239.29;20.0;0.0;414.96;179.83;42.69
25-50€;teufel-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;20.5;632.96;27.0;0.0;841.97;231.53;-26.33
 0- 5€;teufel-daparto;2017-01-05;2017;2017-01-01;2017-01-01;3;1.0;-0.53;1.0;0.0;8.55;9.08;-1.83
 > 50€;teufel-daparto;2017-01-05;2017;2017-01-01;2017-01-01;3;5.0;394.16;5.0;0.0;448.46;54.3;-47.74
10-25€;teufel-daparto;2017-01-05;2017;2017-01-01;2017-01-01;3;1.0;18.62;2.0;0.0;34.95;16.33;5.94
25-50€;teufel-daparto;2017-01-05;2017;2017-01-01;2017-01-01;3;2.0;82.64;2.0;0.0;111.22;28.58;3.26
 0- 5€;partsrunner-shop;2017-01-05;2017;2017-01-01;2017-01-01;3;52.31;31.58;196.0;0.0;907.69;887.54;512.72
 5-10€;partsrunner-shop;2017-01-05;2017;2017-01-01;2017-01-01;3;15.17;162.49;41.0;0.0;342.53;199.7;114.78
 > 50€;partsrunner-shop;2017-01-05;2017;2017-01-01;2017-01-01;3;22.07;1992.12;36.0;0.0;2316.45;406.4;50.48
10-25€;partsrunner-shop;2017-01-05;2017;2017-01-01;2017-01-01;3;27.21;645.33;94.0;0.0;1060.59;449.85;225.95
25-50€;partsrunner-shop;2017-01-05;2017;2017-01-01;2017-01-01;3;15.33;581.43;42.0;0.0;773.93;263.37;92.09
 0- 5€;partsrunner-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;6.33;8.34;7.0;0.0;64.75;56.41;23.77
 5-10€;partsrunner-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;4.66;27.35;9.0;0.0;87.38;66.47;25.3
 > 50€;partsrunner-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;12.5;1101.83;16.0;0.0;1292.76;238.97;-79.51
10-25€;partsrunner-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;9.5;163.59;11.0;0.0;263.32;105.39;14.97
25-50€;partsrunner-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;10.0;337.65;11.0;0.0;434.1;104.58;-10.02
 0- 5€;partsrunner-daparto;2017-01-05;2017;2017-01-01;2017-01-01;3;12.38;-8.3;46.0;0.0;143.81;163.77;60.2
 5-10€;partsrunner-daparto;2017-01-05;2017;2017-01-01;2017-01-01;3;4.38;29.24;19.0;0.0;87.24;65.52;30.41
 > 50€;partsrunner-daparto;2017-01-05;2017;2017-01-01;2017-01-01;3;6.66;769.76;13.0;0.0;884.05;114.29;-55.65
10-25€;partsrunner-daparto;2017-01-05;2017;2017-01-01;2017-01-01;3;9.78;250.89;27.0;0.0;355.05;129.21;1.49
25-50€;partsrunner-daparto;2017-01-05;2017;2017-01-01;2017-01-01;3;6.87;284.53;12.0;0.0;343.34;77.54;-23.03
 0- 5€;carmaster-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;15.0;37.85;16.0;0.0;171.09;133.24;68.08
 5-10€;carmaster-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;3.2;31.59;5.0;0.0;77.68;46.09;29.99
 > 50€;carmaster-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;11.0;927.36;12.0;0.0;1092.73;165.37;37.34
10-25€;carmaster-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;7.8;179.87;13.0;0.0;313.33;133.46;83.68
25-50€;carmaster-ebay;2017-01-05;2017;2017-01-01;2017-01-01;3;12.99;429.19;15.0;0.0;548.1;137.05;39.73
 > 50€;partsrunner-tyre24;2017-01-05;2017;2017-01-01;2017-01-01;3;2.0;181.55;3.0;0.0;219.25;37.7;-6.75
10-25€;partsrunner-tyre24;2017-01-05;2017;2017-01-01;2017-01-01;3;4.0;70.27;8.0;0.0;155.08;90.12;46.43
25-50€;partsrunner-tyre24;2017-01-05;2017;2017-01-01;2017-01-01;3;3.0;80.97;3.0;0.0;119.77;38.8;14.92
 0- 5€;teufel-shop;2017-01-06;2017;2017-01-01;2017-01-01;4;49.88;251.07;269.0;0.0;1920.89;1682.75;751.29
 5-10€;teufel-shop;2017-01-06;2017;2017-01-01;2017-01-01;4;24.25;580.71;99.0;0.0;1104.63;531.13;334.72
 > 50€;teufel-shop;2017-01-06;2017;2017-01-01;2017-01-01;4;31.48;4443.25;88.0;0.0;4913.5;601.19;-65.17
10-25€;teufel-shop;2017-01-06;2017;2017-01-01;2017-01-01;4;48.12;1716.76;160.0;0.0;2701.14;1032.18;533.05
