Einkaufspreis;Kanal;Datum;Jahr;Quartal;Monat;Wochentag;Anzahl Bestellungen;Wareneinsatz;Anzahl Artikelstück;Anzahl Bundle;Nettoumsatz;RE1;RE2
 5-10€;partsrunner-ebay;2018-12-04;2018;2018-04-01;2018-12-01;1;23.5;163.63;28.0;0.0;349.73;188.33;45.78
 > 50€;partsrunner-ebay;2018-12-04;2018;2018-04-01;2018-12-01;1;9.0;988.64;10.0;1.0;1375.08;420.13;227.03
10-25€;partsrunner-ebay;2018-12-04;2018;2018-04-01;2018-12-01;1;34.5;557.79;39.0;3.0;1015.46;468.36;200.06
25-50€;partsrunner-ebay;2018-12-04;2018;2018-04-01;2018-12-01;1;15.0;539.45;20.0;1.0;756.99;253.2;77.21
 0- 5€;partsrunner-daparto;2018-12-04;2018;2018-04-01;2018-12-01;1;3.35;31.84;21.0;0.0;63.85;32.01;-2.08
 5-10€;partsrunner-daparto;2018-12-04;2018;2018-04-01;2018-12-01;1;10.08;120.54;17.0;0.0;215.56;95.02;21.1
 > 50€;partsrunner-daparto;2018-12-04;2018;2018-04-01;2018-12-01;1;5.33;731.63;37.0;0.0;1030.16;298.53;171.19
10-25€;partsrunner-daparto;2018-12-04;2018;2018-04-01;2018-12-01;1;10.53;184.91;37.0;0.0;284.61;112.15;17.36
25-50€;partsrunner-daparto;2018-12-04;2018;2018-04-01;2018-12-01;1;4.7;315.0;16.0;0.0;460.32;145.32;76.31
 0- 5€;teufel-tyre24;2018-12-04;2018;2018-04-01;2018-12-01;1;1.0;4.24;1.0;0.0;7.12;2.88;-2.1
 5-10€;teufel-tyre24;2018-12-04;2018;2018-04-01;2018-12-01;1;2.0;25.9;3.0;0.0;39.21;13.31;1.29
 > 50€;teufel-tyre24;2018-12-04;2018;2018-04-01;2018-12-01;1;2.75;254.21;10.0;0.0;344.48;90.27;53.87
10-25€;teufel-tyre24;2018-12-04;2018;2018-04-01;2018-12-01;1;11.7;263.95;30.0;0.0;394.65;130.7;41.31
25-50€;teufel-tyre24;2018-12-04;2018;2018-04-01;2018-12-01;1;11.55;654.37;28.0;0.0;897.9;250.77;112.5
 5-10€;partsrunner-tyre24;2018-12-04;2018;2018-04-01;2018-12-01;1;0.5;8.81;1.0;0.0;17.46;8.65;5.17
 > 50€;partsrunner-tyre24;2018-12-04;2018;2018-04-01;2018-12-01;1;2.33;196.97;31.0;0.0;297.56;100.59;67.63
10-25€;partsrunner-tyre24;2018-12-04;2018;2018-04-01;2018-12-01;1;1.33;54.2;5.0;0.0;82.11;27.91;10.39
25-50€;partsrunner-tyre24;2018-12-04;2018;2018-04-01;2018-12-01;1;0.83;67.2;30.0;0.0;103.2;36.0;19.64
 0- 5€;teufel-shop;2018-12-05;2018;2018-04-01;2018-12-01;2;29.7;358.18;176.0;0.0;971.55;616.08;34.81
 5-10€;teufel-shop;2018-12-05;2018;2018-04-01;2018-12-01;2;25.11;763.18;162.0;0.0;1203.92;449.49;220.45
 > 50€;teufel-shop;2018-12-05;2018;2018-04-01;2018-12-01;2;20.54;3150.75;71.0;0.0;4339.98;1210.43;1065.33
10-25€;teufel-shop;2018-12-05;2018;2018-04-01;2018-12-01;2;49.73;2411.39;221.0;0.0;3504.84;1151.48;727.79
25-50€;teufel-shop;2018-12-05;2018;2018-04-01;2018-12-01;2;35.87;3264.74;122.0;0.0;4624.14;1384.42;1105.21
 0- 5€;teufel-ebay;2018-12-05;2018;2018-04-01;2018-12-01;2;30.0;87.07;47.0;0.0;237.58;150.51;10.81
 5-10€;teufel-ebay;2018-12-05;2018;2018-04-01;2018-12-01;2;6.0;43.02;6.0;1.0;116.58;76.11;25.33
 > 50€;teufel-ebay;2018-12-05;2018;2018-04-01;2018-12-01;2;3.0;224.84;6.0;0.0;333.58;108.74;65.06
10-25€;teufel-ebay;2018-12-05;2018;2018-04-01;2018-12-01;2;10.0;183.07;11.0;2.0;329.84;146.77;62.5
25-50€;teufel-ebay;2018-12-05;2018;2018-04-01;2018-12-01;2;10.0;353.01;10.0;1.0;543.04;202.24;93.95
 0- 5€;teufel-daparto;2018-12-05;2018;2018-04-01;2018-12-01;2;6.0;20.25;8.0;0.0;61.89;41.64;1.69
 5-10€;teufel-daparto;2018-12-05;2018;2018-04-01;2018-12-01;2;1.0;6.71;1.0;0.0;13.53;6.82;1.5
25-50€;teufel-daparto;2018-12-05;2018;2018-04-01;2018-12-01;2;2.0;72.76;2.0;0.0;123.23;50.47;25.26
 0- 5€;partsrunner-ebay;2018-12-05;2018;2018-04-01;2018-12-01;2;24.13;56.13;36.0;0.0;193.07;136.94;22.83
 5-10€;partsrunner-ebay;2018-12-05;2018;2018-04-01;2018-12-01;2;17.33;124.25;20.0;0.0;259.39;138.25;25.25
 > 50€;partsrunner-ebay;2018-12-05;2018;2018-04-01;2018-12-01;2;9.0;850.28;18.0;2.0;1292.75;442.47;256.71
10-25€;partsrunner-ebay;2018-12-05;2018;2018-04-01;2018-12-01;2;19.2;389.98;22.0;2.0;688.93;298.95;127.8
25-50€;partsrunner-ebay;2018-12-05;2018;2018-04-01;2018-12-01;2;8.33;266.2;14.0;0.0;435.67;165.2;72.13
 0- 5€;partsrunner-daparto;2018-12-05;2018;2018-04-01;2018-12-01;2;1.99;13.67;5.0;0.0;28.36;14.69;0.52
 5-10€;partsrunner-daparto;2018-12-05;2018;2018-04-01;2018-12-01;2;2.5;28.37;4.0;0.0;51.14;22.77;5.42
 > 50€;partsrunner-daparto;2018-12-05;2018;2018-04-01;2018-12-01;2;6.25;404.41;17.0;0.0;532.31;154.9;64.21
10-25€;partsrunner-daparto;2018-12-05;2018;2018-04-01;2018-12-01;2;10.16;234.23;19.0;0.0;371.74;141.33;52.48
25-50€;partsrunner-daparto;2018-12-05;2018;2018-04-01;2018-12-01;2;4.07;379.62;13.0;0.0;530.89;156.17;73.63
 0- 5€;teufel-tyre24;2018-12-05;2018;2018-04-01;2018-12-01;2;3.2;24.4;20.0;0.0;45.94;21.54;-10.86
 5-10€;teufel-tyre24;2018-12-05;2018;2018-04-01;2018-12-01;2;6.5;72.78;15.0;0.0;115.3;42.52;-6.53
 > 50€;teufel-tyre24;2018-12-05;2018;2018-04-01;2018-12-01;2;5.0;493.88;34.0;0.0;674.2;180.32;108.21
10-25€;teufel-tyre24;2018-12-05;2018;2018-04-01;2018-12-01;2;9.69;262.12;48.0;0.0;373.83;111.71;24.58
25-50€;teufel-tyre24;2018-12-05;2018;2018-04-01;2018-12-01;2;11.6;615.29;22.0;0.0;849.45;234.16;32.32
 0- 5€;partsrunner-tyre24;2018-12-05;2018;2018-04-01;2018-12-01;2;0.14;1.4;2.0;0.0;2.34;0.94;-0.95
 5-10€;partsrunner-tyre24;2018-12-05;2018;2018-04-01;2018-12-01;2;0.28;15.01;2.0;0.0;22.73;7.72;2.86
10-25€;partsrunner-tyre24;2018-12-05;2018;2018-04-01;2018-12-01;2;3.42;122.72;10.0;0.0;173.61;50.89;19.95
25-50€;partsrunner-tyre24;2018-12-05;2018;2018-04-01;2018-12-01;2;1.14;90.83;3.0;0.0;128.44;37.61;19.84
 0- 5€;teufel-shop;2018-12-06;2018;2018-04-01;2018-12-01;3;24.72;304.83;114.0;0.0;819.57;514.74;49.06
 5-10€;teufel-shop;2018-12-06;2018;2018-04-01;2018-12-01;3;27.61;597.21;105.0;0.0;996.52;404.3;191.94
 > 50€;teufel-shop;2018-12-06;2018;2018-04-01;2018-12-01;3;18.16;2736.48;62.0;0.0;3772.54;1093.32;967.74
10-25€;teufel-shop;2018-12-06;2018;2018-04-01;2018-12-01;3;34.64;1615.8;158.0;0.0;2422.13;819.11;549.64
25-50€;teufel-shop;2018-12-06;2018;2018-04-01;2018-12-01;3;19.72;1826.82;77.0;0.0;2572.11;774.85;626.49
 0- 5€;teufel-ebay;2018-12-06;2018;2018-04-01;2018-12-01;3;40.0;115.09;65.0;0.0;329.03;204.78;6.32
 5-10€;teufel-ebay;2018-12-06;2018;2018-04-01;2018-12-01;3;12.0;86.99;15.0;0.0;222.74;135.75;48.81
 > 50€;teufel-ebay;2018-12-06;2018;2018-04-01;2018-12-01;3;12.0;867.89;17.0;0.0;1162.93;435.46;166.0
10-25€;teufel-ebay;2018-12-06;2018;2018-04-01;2018-12-01;3;28.0;419.98;32.0;4.0;785.14;374.66;138.39
25-50€;teufel-ebay;2018-12-06;2018;2018-04-01;2018-12-01;3;15.0;548.41;18.0;2.0;856.84;318.01;151.4
 0- 5€;teufel-daparto;2018-12-06;2018;2018-04-01;2018-12-01;3;0.58;4.16;2.0;0.0;5.99;1.83;-4.19
 5-10€;teufel-daparto;2018-12-06;2018;2018-04-01;2018-12-01;3;3.58;36.46;9.0;0.0;64.73;28.27;4.75
 > 50€;teufel-daparto;2018-12-06;2018;2018-04-01;2018-12-01;3;1.33;791.34;6.0;0.0;1094.23;302.89;199.48
10-25€;teufel-daparto;2018-12-06;2018;2018-04-01;2018-12-01;3;1.24;74.34;6.0;0.0;106.19;31.85;14.6
25-50€;teufel-daparto;2018-12-06;2018;2018-04-01;2018-12-01;3;0.25;43.14;2.0;0.0;56.08;12.94;5.69
 0- 5€;partsrunner-ebay;2018-12-06;2018;2018-04-01;2018-12-01;3;28.0;57.36;46.0;2.0;233.15;175.79;38.19
 5-10€;partsrunner-ebay;2018-12-06;2018;2018-04-01;2018-12-01;3;24.0;192.22;33.0;1.0;426.51;234.29;80.51
 > 50€;partsrunner-ebay;2018-12-06;2018;2018-04-01;2018-12-01;3;8.0;778.13;12.0;0.0;1064.78;314.62;154.05
10-25€;partsrunner-ebay;2018-12-06;2018;2018-04-01;2018-12-01;3;28.5;426.33;29.0;3.0;692.25;302.62;44.81
25-50€;partsrunner-ebay;2018-12-06;2018;2018-04-01;2018-12-01;3;11.5;443.32;14.0;0.0;670.89;227.57;114.46
 0- 5€;partsrunner-daparto;2018-12-06;2018;2018-04-01;2018-12-01;3;2.8;19.39;9.0;0.0;42.41;23.02;2.14
 5-10€;partsrunner-daparto;2018-12-06;2018;2018-04-01;2018-12-01;3;1.2;21.83;4.0;0.0;38.0;16.17;4.47
 > 50€;partsrunner-daparto;2018-12-06;2018;2018-04-01;2018-12-01;3;3.99;945.77;34.0;0.0;1256.51;310.74;178.66
10-25€;partsrunner-daparto;2018-12-06;2018;2018-04-01;2018-12-01;3;5.0;90.38;9.0;0.0;147.24;56.86;23.71
25-50€;partsrunner-daparto;2018-12-06;2018;2018-04-01;2018-12-01;3;8.0;364.02;15.0;0.0;551.72;187.7;101.58
 0- 5€;teufel-tyre24;2018-12-06;2018;2018-04-01;2018-12-01;3;2.41;12.82;14.0;0.0;21.25;8.43;-28.43
 5-10€;teufel-tyre24;2018-12-06;2018;2018-04-01;2018-12-01;3;5.6;68.26;14.0;0.0;100.24;31.98;-5.16
 > 50€;teufel-tyre24;2018-12-06;2018;2018-04-01;2018-12-01;3;9.34;943.32;38.0;0.0;1227.95;284.63;162.22
10-25€;teufel-tyre24;2018-12-06;2018;2018-04-01;2018-12-01;3;12.68;328.11;48.0;0.0;497.37;169.26;56.51
25-50€;teufel-tyre24;2018-12-06;2018;2018-04-01;2018-12-01;3;8.95;524.45;47.0;0.0;726.69;202.24;86.23
 0- 5€;partsrunner-tyre24;2018-12-06;2018;2018-04-01;2018-12-01;3;0.5;3.24;2.0;0.0;9.55;6.31;-0.46
 5-10€;partsrunner-tyre24;2018-12-06;2018;2018-04-01;2018-12-01;3;0.5;11.28;2.0;0.0;20.57;9.29;1.86
 > 50€;partsrunner-tyre24;2018-12-06;2018;2018-04-01;2018-12-01;3;1.0;60.3;1.0;0.0;77.57;17.27;8.07
10-25€;partsrunner-tyre24;2018-12-06;2018;2018-04-01;2018-12-01;3;2.0;40.96;9.0;0.0;58.31;17.35;4.75
 0- 5€;teufel-shop;2018-12-07;2018;2018-04-01;2018-12-01;4;11.06;166.91;68.0;0.0;417.45;253.07;1.46
 5-10€;teufel-shop;2018-12-07;2018;2018-04-01;2018-12-01;4;13.97;410.86;85.0;0.0;623.95;227.5;96.53
 > 50€;teufel-shop;2018-12-07;2018;2018-04-01;2018-12-01;4;8.36;1466.47;27.0;0.0;1985.21;554.85;489.02
10-25€;teufel-shop;2018-12-07;2018;2018-04-01;2018-12-01;4;26.26;1229.58;132.0;0.0;1792.4;595.37;362.04
25-50€;teufel-shop;2018-12-07;2018;2018-04-01;2018-12-01;4;18.28;1591.4;66.0;0.0;2239.88;674.19;515.5
 0- 5€;teufel-ebay;2018-12-07;2018;2018-04-01;2018-12-01;4;34.0;75.77;49.0;0.0;241.72;167.86;-3.21
 5-10€;teufel-ebay;2018-12-07;2018;2018-04-01;2018-12-01;4;11.33;82.95;15.0;1.0;185.6;107.83;28.11
 > 50€;teufel-ebay;2018-12-07;2018;2018-04-01;2018-12-01;4;7.0;737.58;12.0;0.0;1044.95;326.77;174.93
10-25€;teufel-ebay;2018-12-07;2018;2018-04-01;2018-12-01;4;25.0;408.7;28.0;2.0;692.41;294.97;98.49
25-50€;teufel-ebay;2018-12-07;2018;2018-04-01;2018-12-01;4;9.66;453.15;19.0;2.0;739.31;286.16;155.16
 0- 5€;teufel-daparto;2018-12-07;2018;2018-04-01;2018-12-01;4;2.28;33.3;19.0;0.0;60.11;26.81;-0.68
 5-10€;teufel-daparto;2018-12-07;2018;2018-04-01;2018-12-01;4;5.06;46.36;8.0;0.0;88.51;42.15;9.07
10-25€;teufel-daparto;2018-12-07;2018;2018-04-01;2018-12-01;4;2.12;62.85;5.0;0.0;101.95;39.1;16.47
25-50€;teufel-daparto;2018-12-07;2018;2018-04-01;2018-12-01;4;0.5;48.86;1.0;0.0;70.65;21.79;13.3
 0- 5€;partsrunner-ebay;2018-12-07;2018;2018-04-01;2018-12-01;4;18.0;26.09;43.0;0.0;120.48;94.39;1.02
 5-10€;partsrunner-ebay;2018-12-07;2018;2018-04-01;2018-12-01;4;14.0;96.0;16.0;0.0;208.3;112.3;29.85
 > 50€;partsrunner-ebay;2018-12-07;2018;2018-04-01;2018-12-01;4;11.0;918.44;19.0;1.0;1313.97;459.65;230.35
10-25€;partsrunner-ebay;2018-12-07;2018;2018-04-01;2018-12-01;4;31.0;562.03;45.0;4.0;1102.99;551.77;269.87
25-50€;partsrunner-ebay;2018-12-07;2018;2018-04-01;2018-12-01;4;8.0;313.92;10.0;2.0;536.24;222.32;117.84
 0- 5€;partsrunner-daparto;2018-12-07;2018;2018-04-01;2018-12-01;4;5.33;17.83;11.0;0.0;51.7;34.02;0.0
 5-10€;partsrunner-daparto;2018-12-07;2018;2018-04-01;2018-12-01;4;7.51;87.04;20.0;0.0;156.6;71.87;7.11
 > 50€;partsrunner-daparto;2018-12-07;2018;2018-04-01;2018-12-01;4;1.0;167.44;4.0;0.0;252.56;85.12;59.1
10-25€;partsrunner-daparto;2018-12-07;2018;2018-04-01;2018-12-01;4;12.75;285.6;27.0;0.0;443.71;163.48;52.6
25-50€;partsrunner-daparto;2018-12-07;2018;2018-04-01;2018-12-01;4;6.42;282.46;10.0;0.0;402.25;126.65;55.02
 0- 5€;teufel-tyre24;2018-12-07;2018;2018-04-01;2018-12-01;4;0.66;5.51;3.0;0.0;8.77;3.26;-3.33
 5-10€;teufel-tyre24;2018-12-07;2018;2018-04-01;2018-12-01;4;6.16;62.96;15.0;0.0;90.63;27.67;-12.78
 > 50€;teufel-tyre24;2018-12-07;2018;2018-04-01;2018-12-01;4;2.5;1076.17;73.0;0.0;1390.37;314.2;207.11
10-25€;teufel-tyre24;2018-12-07;2018;2018-04-01;2018-12-01;4;8.5;190.83;11.0;0.0;256.35;65.52;9.91
25-50€;teufel-tyre24;2018-12-07;2018;2018-04-01;2018-12-01;4;5.16;203.35;9.0;0.0;301.86;105.9;56.37
 0- 5€;teufel-shop;2018-12-08;2018;2018-04-01;2018-12-01;5;18.92;259.03;120.0;0.0;475.06;214.23;26.85
 5-10€;teufel-shop;2018-12-08;2018;2018-04-01;2018-12-01;5;20.37;598.71;136.0;0.0;991.6;398.84;196.32
 > 50€;teufel-shop;2018-12-08;2018;2018-04-01;2018-12-01;5;8.42;1172.28;31.0;0.0;1473.33;436.47;374.13
10-25€;teufel-shop;2018-12-08;2018;2018-04-01;2018-12-01;5;30.87;1458.76;129.0;0.0;2102.44;682.21;445.23
25-50€;teufel-shop;2018-12-08;2018;2018-04-01;2018-12-01;5;12.55;1469.89;68.0;0.0;2030.44;585.89;476.92
 0- 5€;teufel-ebay;2018-12-08;2018;2018-04-01;2018-12-01;5;27.66;67.71;43.0;0.0;197.89;132.49;1.81
 5-10€;teufel-ebay;2018-12-08;2018;2018-04-01;2018-12-01;5;14.33;105.51;17.0;0.0;220.34;118.65;20.24
 > 50€;teufel-ebay;2018-12-08;2018;2018-04-01;2018-12-01;5;3.0;351.03;3.0;0.0;452.91;101.88;47.47
10-25€;teufel-ebay;2018-12-08;2018;2018-04-01;2018-12-01;5;8.66;223.54;11.0;5.0;445.24;221.7;117.62
25-50€;teufel-ebay;2018-12-08;2018;2018-04-01;2018-12-01;5;10.33;360.74;12.0;0.0;559.68;198.94;96.63
 0- 5€;teufel-daparto;2018-12-08;2018;2018-04-01;2018-12-01;5;1.17;4.23;2.0;0.0;12.02;7.79;0.75
 5-10€;teufel-daparto;2018-12-08;2018;2018-04-01;2018-12-01;5;4.48;70.93;29.0;0.0;125.23;54.3;12.67
10-25€;teufel-daparto;2018-12-08;2018;2018-04-01;2018-12-01;5;4.92;127.32;9.0;0.0;206.12;82.54;22.08
25-50€;teufel-daparto;2018-12-08;2018;2018-04-01;2018-12-01;5;0.42;116.66;3.0;0.0;165.49;48.83;21.06
 0- 5€;partsrunner-ebay;2018-12-08;2018;2018-04-01;2018-12-01;5;25.0;56.48;38.0;1.0;222.76;166.28;31.38
 5-10€;partsrunner-ebay;2018-12-08;2018;2018-04-01;2018-12-01;5;12.0;73.45;15.0;0.0;149.7;81.91;5.18
 > 50€;partsrunner-ebay;2018-12-08;2018;2018-04-01;2018-12-01;5;5.0;451.79;6.0;0.0;631.45;179.66;100.08
10-25€;partsrunner-ebay;2018-12-08;2018;2018-04-01;2018-12-01;5;37.0;584.3;39.0;1.0;993.44;416.4;144.74
25-50€;partsrunner-ebay;2018-12-08;2018;2018-04-01;2018-12-01;5;15.0;516.57;19.0;1.0;804.37;287.8;136.4
 0- 5€;partsrunner-daparto;2018-12-08;2018;2018-04-01;2018-12-01;5;2.33;11.28;4.0;0.0;27.7;16.42;3.91
 5-10€;partsrunner-daparto;2018-12-08;2018;2018-04-01;2018-12-01;5;2.33;36.81;7.0;0.0;63.47;26.66;9.33
 > 50€;partsrunner-daparto;2018-12-08;2018;2018-04-01;2018-12-01;5;2.0;182.67;2.0;0.0;251.6;68.93;36.17
10-25€;partsrunner-daparto;2018-12-08;2018;2018-04-01;2018-12-01;5;4.65;137.54;9.0;0.0;212.95;75.41;34.46
25-50€;partsrunner-daparto;2018-12-08;2018;2018-04-01;2018-12-01;5;2.66;197.82;7.0;0.0;279.19;81.37;40.4
 0- 5€;teufel-tyre24;2018-12-08;2018;2018-04-01;2018-12-01;5;1.5;3.33;3.0;0.0;9.18;5.85;-3.17
 5-10€;teufel-tyre24;2018-12-08;2018;2018-04-01;2018-12-01;5;1.25;14.12;2.0;0.0;20.06;5.94;-1.54
 > 50€;teufel-tyre24;2018-12-08;2018;2018-04-01;2018-12-01;5;2.0;113.64;11.0;0.0;152.66;39.02;20.76
10-25€;teufel-tyre24;2018-12-08;2018;2018-04-01;2018-12-01;5;2.75;90.87;7.0;0.0;117.93;27.06;2.61
25-50€;teufel-tyre24;2018-12-08;2018;2018-04-01;2018-12-01;5;4.5;249.86;8.0;0.0;340.5;90.64;45.49
 0- 5€;teufel-shop;2018-12-09;2018;2018-04-01;2018-12-01;6;21.46;273.18;141.0;0.0;795.99;537.1;4.23
 5-10€;teufel-shop;2018-12-09;2018;2018-04-01;2018-12-01;6;27.88;557.89;129.0;0.0;929.52;399.66;174.16
 > 50€;teufel-shop;2018-12-09;2018;2018-04-01;2018-12-01;6;10.24;1629.96;36.0;0.0;2184.56;601.13;526.38
10-25€;teufel-shop;2018-12-09;2018;2018-04-01;2018-12-01;6;39.49;1936.63;167.0;0.0;2752.76;883.08;552.72
25-50€;teufel-shop;2018-12-09;2018;2018-04-01;2018-12-01;6;17.29;1706.03;99.0;0.0;2360.12;715.42;567.81
 0- 5€;teufel-ebay;2018-12-09;2018;2018-04-01;2018-12-01;6;43.5;82.0;95.0;3.0;306.49;224.49;60.53
 5-10€;teufel-ebay;2018-12-09;2018;2018-04-01;2018-12-01;6;24.16;229.0;32.0;5.0;548.85;324.87;127.2
 > 50€;teufel-ebay;2018-12-09;2018;2018-04-01;2018-12-01;6;5.0;445.15;16.0;2.0;666.25;250.48;135.09
10-25€;teufel-ebay;2018-12-09;2018;2018-04-01;2018-12-01;6;34.5;548.65;37.0;5.0;1000.08;464.6;176.65
25-50€;teufel-ebay;2018-12-09;2018;2018-04-01;2018-12-01;6;6.83;351.91;13.0;2.0;582.34;230.43;131.71
 0- 5€;teufel-daparto;2018-12-09;2018;2018-04-01;2018-12-01;6;4.0;14.17;7.0;0.0;40.15;25.98;5.9
 5-10€;teufel-daparto;2018-12-09;2018;2018-04-01;2018-12-01;6;1.5;12.98;2.0;0.0;25.65;12.67;3.83
 > 50€;teufel-daparto;2018-12-09;2018;2018-04-01;2018-12-01;6;1.0;138.22;2.0;0.0;217.5;79.28;56.24
10-25€;teufel-daparto;2018-12-09;2018;2018-04-01;2018-12-01;6;0.5;19.4;1.0;0.0;29.96;10.56;5.52
25-50€;teufel-daparto;2018-12-09;2018;2018-04-01;2018-12-01;6;1.0;26.62;1.0;0.0;46.95;20.33;8.97
 0- 5€;partsrunner-ebay;2018-12-09;2018;2018-04-01;2018-12-01;6;40.0;57.7;89.0;5.0;342.17;284.47;108.05
 5-10€;partsrunner-ebay;2018-12-09;2018;2018-04-01;2018-12-01;6;19.0;136.59;20.0;0.0;277.6;141.01;26.87
 > 50€;partsrunner-ebay;2018-12-09;2018;2018-04-01;2018-12-01;6;13.0;1265.73;15.0;1.0;1797.17;560.34;304.95
10-25€;partsrunner-ebay;2018-12-09;2018;2018-04-01;2018-12-01;6;26.5;563.63;32.0;7.0;1080.01;516.38;259.38
25-50€;partsrunner-ebay;2018-12-09;2018;2018-04-01;2018-12-01;6;19.5;530.67;23.0;0.0;784.33;287.66;92.16
 0- 5€;partsrunner-daparto;2018-12-09;2018;2018-04-01;2018-12-01;6;2.33;6.55;4.0;0.0;20.79;14.24;2.33
 5-10€;partsrunner-daparto;2018-12-09;2018;2018-04-01;2018-12-01;6;3.66;45.61;9.0;0.0;80.28;34.67;4.9
 > 50€;partsrunner-daparto;2018-12-09;2018;2018-04-01;2018-12-01;6;3.0;252.04;5.0;0.0;307.04;55.0;10.88
10-25€;partsrunner-daparto;2018-12-09;2018;2018-04-01;2018-12-01;6;7.99;179.1;13.0;0.0;287.99;108.89;39.12
25-50€;partsrunner-daparto;2018-12-09;2018;2018-04-01;2018-12-01;6;8.0;352.95;18.0;0.0;528.63;175.68;91.94
 0- 5€;teufel-tyre24;2018-12-09;2018;2018-04-01;2018-12-01;6;1.1;11.09;5.0;0.0;15.92;4.83;-7.5
10-25€;teufel-tyre24;2018-12-09;2018;2018-04-01;2018-12-01;6;1.0;13.13;1.0;0.0;16.96;3.83;-1.74
25-50€;teufel-tyre24;2018-12-09;2018;2018-04-01;2018-12-01;6;0.9;146.69;4.0;0.0;196.34;49.65;28.63
 0- 5€;teufel-shop;2018-12-10;2018;2018-04-01;2018-12-01;0;35.38;371.6;173.0;0.0;978.95;617.34;57.05
 5-10€;teufel-shop;2018-12-10;2018;2018-04-01;2018-12-01;0;28.46;742.2;140.0;0.0;1205.97;474.06;230.72
 > 50€;teufel-shop;2018-12-10;2018;2018-04-01;2018-12-01;0;22.92;3136.7;52.0;0.0;4151.86;1094.29;955.6
10-25€;teufel-shop;2018-12-10;2018;2018-04-01;2018-12-01;0;45.38;2219.09;204.0;0.0;3255.8;1092.09;729.07
25-50€;teufel-shop;2018-12-10;2018;2018-04-01;2018-12-01;0;29.77;2679.8;103.0;0.0;3796.65;1163.99;948.58
 0- 5€;teufel-ebay;2018-12-10;2018;2018-04-01;2018-12-01;0;51.0;145.27;73.0;2.0;430.11;287.87;31.3
 5-10€;teufel-ebay;2018-12-10;2018;2018-04-01;2018-12-01;0;26.0;214.68;34.0;0.0;440.79;229.22;63.94
 > 50€;teufel-ebay;2018-12-10;2018;2018-04-01;2018-12-01;0;6.25;337.42;7.0;0.0;420.99;137.62;31.71
10-25€;teufel-ebay;2018-12-10;2018;2018-04-01;2018-12-01;0;23.5;420.1;29.0;4.0;768.1;352.79;149.06
25-50€;teufel-ebay;2018-12-10;2018;2018-04-01;2018-12-01;0;19.25;687.12;22.0;0.0;981.53;313.97;115.71
 0- 5€;teufel-daparto;2018-12-10;2018;2018-04-01;2018-12-01;0;3.75;14.92;6.0;0.0;37.2;22.28;0.1
 5-10€;teufel-daparto;2018-12-10;2018;2018-04-01;2018-12-01;0;3.83;37.76;18.0;0.0;73.02;35.26;10.54
10-25€;teufel-daparto;2018-12-10;2018;2018-04-01;2018-12-01;0;6.16;143.8;17.0;0.0;237.25;93.45;37.08
25-50€;teufel-daparto;2018-12-10;2018;2018-04-01;2018-12-01;0;1.25;68.62;2.0;0.0;99.05;30.43;14.62
 0- 5€;partsrunner-ebay;2018-12-10;2018;2018-04-01;2018-12-01;0;47.5;90.73;95.0;5.0;496.65;405.92;119.14
 5-10€;partsrunner-ebay;2018-12-10;2018;2018-04-01;2018-12-01;0;18.5;132.71;20.0;0.0;270.04;137.33;28.44
 > 50€;partsrunner-ebay;2018-12-10;2018;2018-04-01;2018-12-01;0;13.0;952.1;18.0;1.0;1341.05;417.85;205.97
10-25€;partsrunner-ebay;2018-12-10;2018;2018-04-01;2018-12-01;0;36.5;597.31;51.0;3.0;1110.08;524.59;229.91
25-50€;partsrunner-ebay;2018-12-10;2018;2018-04-01;2018-12-01;0;21.5;702.47;31.0;2.0;1083.96;426.8;189.7
 0- 5€;partsrunner-daparto;2018-12-10;2018;2018-04-01;2018-12-01;0;2.5;8.73;4.0;0.0;24.81;16.08;3.26
 5-10€;partsrunner-daparto;2018-12-10;2018;2018-04-01;2018-12-01;0;7.15;114.0;19.0;0.0;195.72;81.72;17.56
 > 50€;partsrunner-daparto;2018-12-10;2018;2018-04-01;2018-12-01;0;1.5;194.83;5.0;0.0;261.49;66.66;35.43
10-25€;partsrunner-daparto;2018-12-10;2018;2018-04-01;2018-12-01;0;16.49;437.04;48.0;0.0;687.39;250.51;107.26
25-50€;partsrunner-daparto;2018-12-10;2018;2018-04-01;2018-12-01;0;11.34;492.64;20.0;0.0;736.41;253.7;131.18
 0- 5€;teufel-tyre24;2018-12-10;2018;2018-04-01;2018-12-01;0;3.34;13.62;8.0;0.0;79.96;66.34;-10.88
 5-10€;teufel-tyre24;2018-12-10;2018;2018-04-01;2018-12-01;0;3.83;62.66;9.0;0.0;96.87;34.21;5.87
 > 50€;teufel-tyre24;2018-12-10;2018;2018-04-01;2018-12-01;0;14.0;1763.9;36.0;0.0;2289.71;592.67;313.03
10-25€;teufel-tyre24;2018-12-10;2018;2018-04-01;2018-12-01;0;11.17;267.27;24.0;0.0;375.85;108.58;24.99
25-50€;teufel-tyre24;2018-12-10;2018;2018-04-01;2018-12-01;0;11.66;523.08;63.0;0.0;720.0;196.92;88.82
 > 50€;partsrunner-tyre24;2018-12-10;2018;2018-04-01;2018-12-01;0;2.0;413.59;2.0;0.0;542.07;128.48;86.85
 0- 5€;teufel-shop;2018-12-11;2018;2018-04-01;2018-12-01;1;31.35;412.54;179.0;0.0;987.7;576.13;62.65
